title,date,description,call_number,contributor_names,format,language,mime_type,subject,partof
"Blackie & Tiger, 10/20/23",1923-01-01,"['1 negative : glass ; 4 x 5 in. or smaller | Photograph shows Blackie and Tiger, two of the cats owned by President Calvin Coolidge.']",LC-F8- 26931 [P&P],not found,"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['coolidge, calvin', 'glass negatives', 'animals & pets']","{'count': 35612, 'title': 'national photo company collection', 'url': 'https://www.loc.gov/collections/national-photo-company/?fo=json'}"
"Tyger [i.e. Tiger], White House cat",1924-01-01,"['1 negative : glass ; 4 x 5 in. or smaller | Photograph shows Benjamin Fink, half-length portrait, standing, facing front, holding Tiger, referred to as ""Tige"", the White House cat with President Calvin Coolidge.']",LC-F8- 29634 [P&P],not found,"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['washington (d.c.)', 'portrait photographs', 'animals & pets', 'glass negatives', 'cats', 'coolidge, grace goodhue', 'pets']","{'count': 35612, 'title': 'national photo company collection', 'url': 'https://www.loc.gov/collections/national-photo-company/?fo=json'}"
"Capitol Cats, 1/22/27",1927-01-01,['1 negative : glass ; 4 x 5 in. or smaller'],LC-F8- 41152 [P&P],not found,"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']",['glass negatives'],"{'count': 35612, 'title': 'national photo company collection', 'url': 'https://www.loc.gov/collections/national-photo-company/?fo=json'}"
The three white kittens: peace / O.S. sc.,1879-01-01,"['1 print : lithograph, hand-colored.']",PGA - Currier & Ives--Three white kittens: peace (B size) [P&P],"['Currier & Ives.', 'Stark, Otto, 1859-1926, artist']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['lithographs', 'hand-colored']","{'count': 18849, 'title': 'popular graphic arts', 'url': 'https://www.loc.gov/collections/popular-graphic-arts/?fo=json'}"
"Cats / after Miss E.C. Beaux ; lith. & copyright 1874 by Thos. Hunter, Philda.",1874-01-01,['1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.'],PGA - Hunter (T.)--Cats (B size) [P&P],"['Hunter, Thomas, approximately 1828-approximately 1894.']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['lithographs', 'color', 'cats', 'sleeping', 'faces']","{'count': 18849, 'title': 'popular graphic arts', 'url': 'https://www.loc.gov/collections/popular-graphic-arts/?fo=json'}"
The cat - Felis domesticus,1872-01-01,"['1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlilght"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out"".']",PGA - Prang--Animals: Cat ... (A size) [P&P],"['L. Prang & Co., copyright claimant']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['lithographs', 'color', 'cats']","{'count': 18849, 'title': 'popular graphic arts', 'url': 'https://www.loc.gov/collections/popular-graphic-arts/?fo=json'}"
Colonial houses - three chums,1913-01-01,"['1 photographic print. | Photograph shows two young women wearing colonial costume, one sitting and the other standing in front of a large fireplace in a large kitchen or dining room, they are balling yarn, pewter plates are on a shelf above the mantle, and a cat is sitting on the floor at the feet of the seated woman.']",SSF - Interiors--Kitchens--1913 [item] [P&P],"['Nutting, Wallace, 1861-1941, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['fireplaces', 'kitchens', 'genre photographs', 'photographic prints', 'cats', 'massachusetts', 'pets']","{'count': 121410, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}"
"Edward Penfield, his book",1900-01-01,"['1 print : woodcut, two colors ; bookplate 7.5 x 7.6 cm. | Bookplate shows a cat looking at an open book.']","PR 13 CN 1935:144, no. 4519 [P&P]","['Penfield, Edward, 1866-1925, bookplate designer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['color', 'bookplates', 'associated objects', 'penfield, edward', 'cats', 'woodcuts']","{'count': 121410, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}"
"Evolution of a cat-cher / lith. H.S. Crocker & Co., S.F.",1889-01-01,"['1 print : lithograph. | Print shows a five panel illustration beginning on the left with a cat, sitting on its hind legs, playing with a ball of yarn, which evolves into a baseball catcher standing upright.']",PGA - Crocker--Evolution ... (C size) [P&P],['H.S. Crocker & Co.'],"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['lithographs', 'baseball players', 'cats', 'evolution']","{'count': 18849, 'title': 'popular graphic arts', 'url': 'https://www.loc.gov/collections/popular-graphic-arts/?fo=json'}"
"The Black Cat, December",1890-01-01,"['1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December.']","POS - US .U52, no. 3 (B size) [P&P]",not found,"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['book & magazine posters', 'american', 'cats']","{'count': 4352, 'title': 'posters: artist posters', 'url': 'https://www.loc.gov/collections/artists-posters/?fo=json'}"
Brünnhilde,1936,['1 photograph : print ; sheet 12 x 9 cm. | Photograph shows side view of a cat wearing a winged helmet and breastplate armor in the role of the valkyrie Brünnhilde from the opera Der Ring des Niebelungen.'],Unprocessed in PR 06 CN 007-A [item] [P&P],"['Weidhaas, Adolph Edward, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['humorous pictures', 'photographic prints', 'cats', 'animals in human situations', 'costumes']","{'count': 121410, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}"
The book of the cat : with facsimiles of drawings in colour,1903,['Printed on one side of leaf only. Also available in digital form on the Library of Congress Web site.'],['NC1075 .B6'],"['Bonsall, E. F., 1861-1956.', 'Humphrey, Mabel.', 'Juvenile Collection (Library of Congress)']",[{'book': 'https://www.loc.gov/search/?fa=original_format:book&fo=json'}],['english'],"['application/pdf', 'image/tiff', 'image/jpeg', 'image/jp2', 'image/gif']","['cats', 'juvenile literature', 'pictorial works']","{'count': 30, 'title': 'icdl', 'url': 'https://www.loc.gov/search/?fa=partof:icdl&fo=json'}"
Animals. Cat (kitten with back arched),1920-01-01,['1 negative : safety ; 5 x 7 in.'],LC-H812- A03-021-A [P&P],"['Horydczak, Theodor, approximately 1890-1971, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['united states', 'cats', 'acetate negatives', 'washington region']","{'count': 14331, 'title': 'horydczak collection', 'url': 'https://www.loc.gov/collections/horydczak/?fo=json'}"
